obs,source,auth,title,yr_pub,reg,loc,lat_decimal,long_decimal,MAP_mm,soil_type,ox_ult,pH,clay_perc,silt_perc,sand_perc,bnf_input,ferttype1,fert1_kgN_ha,ferttype2,fert2_kgN_ha,ferttype3,fert3_kgN_ha,split_app,org_Nfix_in,irrig_1_0,crop,crop_type,trt_name,nh3_kg_seas,nh3_kg_seas_zero.rm,SE,approx_num_measurements,num_replicates,duration_d,tropical,N_in_kg,pct_sand_0.05m_extract,pct_sand_combined,MAP_mm_global,MAP_mm_combined
11,this study,"Obcemea, W.N.; Real, J.G.; De Datta, S.K.",Effect of soil texture and nitrogen management on ammonia volatilization and total nitrogen losses,1988,A,"Calauan, Laguna, Philippines",14.164981,121.255312,,Aeric Tropaquept,0,6.1,80,20,0,,urea,80,,,,,1,0,1,flooded rice,CF rice,11DT,16.676416,16.676416,,7,2,8,1,80,,,2292,2292
12,this study,"Obcemea, W.N.; Real, J.G.; De Datta, S.K.",Effect of soil texture and nitrogen management on ammonia volatilization and total nitrogen losses,1988,A,"San Marcelino, Zambalaes, Phillipines",15.075879,120.323423,,Aquic Ustifluvent,0,5.6,15,5,80,,urea,53,,,,,1,0,1,flooded rice,CF rice,88 without water,14.645195,14.645195,,7,2,8,1,53,,80,2330,2330
13,this study,"Obcemea, W.N.; Real, J.G.; De Datta, S.K.",Effect of soil texture and nitrogen management on ammonia volatilization and total nitrogen losses,1988,A,"San Marcelino, Zambalaes, Phillipines",15.075879,120.323423,,Aquic Ustifluvent,0,5.6,15,5,80,,urea,53,,,,,1,0,1,flooded rice,CF rice,88 with water,26.78791,26.78791,,7,2,8,1,53,,80,2330,2330
14,this study,"Obcemea, W.N.; Real, J.G.; De Datta, S.K.",Effect of soil texture and nitrogen management on ammonia volatilization and total nitrogen losses,1988,A,"San Marcelino, Zambalaes, Phillipines",15.075879,120.323423,,Aquic Ustifluvent,0,5.6,15,5,80,,urea,53,,,,,1,0,1,flooded rice,CF rice,11DT,30.07407,30.07407,,7,2,8,1,53,,80,2330,2330
15,this study,"Obcemea, W.N.; Real, J.G.; De Datta, S.K.",Effect of soil texture and nitrogen management on ammonia volatilization and total nitrogen losses,1988,A,"San Marcelino, Zambalaes, Phillipines",15.075879,120.323423,,Aquic Ustifluvent,0,5.6,15,5,80,,urea,80,,,,,1,0,1,flooded rice,CF rice,88 without water,10.031082,10.031082,,7,2,8,1,80,,80,2330,2330
16,this study,"Obcemea, W.N.; Real, J.G.; De Datta, S.K.",Effect of soil texture and nitrogen management on ammonia volatilization and total nitrogen losses,1988,A,"San Marcelino, Zambalaes, Phillipines",15.075879,120.323423,,Aquic Ustifluvent,0,5.6,15,5,80,,urea,80,,,,,1,0,1,flooded rice,CF rice,88 with water,26.745586,26.745586,,7,2,8,1,80,,80,2330,2330
17,this study,"Obcemea, W.N.; Real, J.G.; De Datta, S.K.",Effect of soil texture and nitrogen management on ammonia volatilization and total nitrogen losses,1988,A,"San Marcelino, Zambalaes, Phillipines",15.075879,120.323423,,Aquic Ustifluvent,0,5.6,15,5,80,,urea,80,,,,,1,0,1,flooded rice,CF rice,11DT,36.743603,36.743603,,7,2,8,1,80,,80,2330,2330
18,this study,"Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Letícia de Abreu Faria, Pedro Henrique Cerqueira Luz & Fernanda Latanze Mendes",AMMONIA VOLATILIZATION FROM COATED UREA FORMS,2013,SCA,"Piracicaba, São Paulo ",-22.66667,-47.88333,,,,4.7,5,5,90,,urea,120,,,,,0,1,0,sugar cane,other,UR,9.09,9.09,,11,4,22,1,120,,90,1475,1475
19,this study,"Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Letícia de Abreu Faria, Pedro Henrique Cerqueira Luz & Fernanda Latanze Mendes",AMMONIA VOLATILIZATION FROM COATED UREA FORMS,2013,SCA,"Piracicaba, São Paulo ",-22.66667,-47.88333,,,,4.7,5,5,90,,ammonium nitrate,120,,,,,0,1,0,sugar cane,other,AN,0.19,0.19,,11,4,22,1,120,,90,1475,1475
20,this study,"Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Letícia de Abreu Faria, Pedro Henrique Cerqueira Luz & Fernanda Latanze Mendes",AMMONIA VOLATILIZATION FROM COATED UREA FORMS,2013,SCA,"Piracicaba, São Paulo ",-22.66667,-47.88333,,,,4.7,5,5,90,,urea coated with boric acid and copper sulfate,120,,,,,0,1,0,sugar cane,other,UBC,2.19,2.19,,11,4,22,1,120,,90,1475,1475
21,this study,"Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Letícia de Abreu Faria, Pedro Henrique Cerqueira Luz & Fernanda Latanze Mendes",AMMONIA VOLATILIZATION FROM COATED UREA FORMS,2013,SCA,"Piracicaba, São Paulo ",-22.66667,-47.88333,,,,4.7,5,5,90,,ammonium sulfate,120,,,,,0,1,0,sugar cane,other,AS,0.105,0.105,,11,4,22,1,120,,90,1475,1475
22,this study,"Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Letícia de Abreu Faria, Pedro Henrique Cerqueira Luz & Fernanda Latanze Mendes",AMMONIA VOLATILIZATION FROM COATED UREA FORMS,2013,SCA,"Piracicaba, São Paulo ",-22.66667,-47.88333,,,,4.7,5,5,90,,sulfur coated urea,120,,,,,0,1,0,sugar cane,other,SU,4.56,4.56,,11,4,22,1,120,,90,1475,1475
23,this study,"J.R. Freney, D.G. Keerthisinghe, S. Phongpan, R Chaiwanakupt  & K.J. Harrington","Effect of urease, nitrification and algal inhibitors on ammonia loss and grain yield of flooded rice in Thailand",1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,,,,,,0,,,,,0,0,1,flooded rice,CF rice,control,8.67,8.67,,11,3,11,1,0,,,1201,1201
24,this study,"J.R. Freney, D.G. Keerthisinghe, S. Phongpan, R Chaiwanakupt  & K.J. Harrington","Effect of urease, nitrification and algal inhibitors on ammonia loss and grain yield of flooded rice in Thailand",1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,,,,,,0,,,,,0,0,1,flooded rice,CF rice,control + PA,7.3,7.3,,11,3,11,1,0,,,1201,1201
25,this study,"J.R. Freney, D.G. Keerthisinghe, S. Phongpan, R Chaiwanakupt  & K.J. Harrington","Effect of urease, nitrification and algal inhibitors on ammonia loss and grain yield of flooded rice in Thailand",1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,,,,,NBTO,60,,,,,0,0,1,flooded rice,CF rice,NBTO,4.58,4.58,,11,3,11,1,60,,,1201,1201
26,this study,"J.R. Freney, D.G. Keerthisinghe, S. Phongpan, R Chaiwanakupt  & K.J. Harrington","Effect of urease, nitrification and algal inhibitors on ammonia loss and grain yield of flooded rice in Thailand",1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,,,,,NBTO+PA,60,,,,,0,0,1,flooded rice,CF rice,NBTO+PA,4.77,4.77,,11,3,11,1,60,,,1201,1201
27,this study,"J.R. Freney, D.G. Keerthisinghe, S. Phongpan, R Chaiwanakupt  & K.J. Harrington","Effect of urease, nitrification and algal inhibitors on ammonia loss and grain yield of flooded rice in Thailand",1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,,,,,CHPT,60,,,,,0,0,1,flooded rice,CF rice,CHPT,0.65,0.65,,11,3,11,1,60,,,1201,1201
28,this study,"J.R. Freney, D.G. Keerthisinghe, S. Phongpan, R Chaiwanakupt  & K.J. Harrington","Effect of urease, nitrification and algal inhibitors on ammonia loss and grain yield of flooded rice in Thailand",1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,,,,,CHPT + PA,60,,,,,0,0,1,flooded rice,CF rice,CHPT + PA,1.46,1.46,,11,3,11,1,60,,,1201,1201
29,this study,"J.R. Freney, D.G. Keerthisinghe, S. Phongpan, R Chaiwanakupt  & K.J. Harrington","Effect of urease, nitrification and algal inhibitors on ammonia loss and grain yield of flooded rice in Thailand",1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,,,,,,0,,,,,0,0,1,flooded rice,CF rice,control +A,7.05,7.05,,11,3,11,1,0,,,1201,1201
30,this study,"J.R. Freney, D.G. Keerthisinghe, S. Phongpan, R Chaiwanakupt  & K.J. Harrington","Effect of urease, nitrification and algal inhibitors on ammonia loss and grain yield of flooded rice in Thailand",1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,,,,,,0,,,,,0,0,1,flooded rice,CF rice,control + PA +A,6.07,6.07,,11,3,11,1,0,,,1201,1201
31,this study,"J.R. Freney, D.G. Keerthisinghe, S. Phongpan, R Chaiwanakupt  & K.J. Harrington","Effect of urease, nitrification and algal inhibitors on ammonia loss and grain yield of flooded rice in Thailand",1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,,,,,NBTO,60,,,,,0,0,1,flooded rice,CF rice,NBTO +A,2.09,2.09,,11,3,11,1,60,,,1201,1201
32,this study,"J.R. Freney, D.G. Keerthisinghe, S. Phongpan, R Chaiwanakupt  & K.J. Harrington","Effect of urease, nitrification and algal inhibitors on ammonia loss and grain yield of flooded rice in Thailand",1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,,,,,NBTO+PA,60,,,,,0,0,1,flooded rice,CF rice,NBTO+PA +A,1.47,1.47,,11,3,11,1,60,,,1201,1201
33,this study,"J.R. Freney, D.G. Keerthisinghe, S. Phongpan, R Chaiwanakupt  & K.J. Harrington","Effect of urease, nitrification and algal inhibitors on ammonia loss and grain yield of flooded rice in Thailand",1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,,,,,CHPT,60,,,,,0,0,1,flooded rice,CF rice,CHPT +A,0.85,0.85,,11,3,11,1,60,,,1201,1201
34,this study,"J.R. Freney, D.G. Keerthisinghe, S. Phongpan, R Chaiwanakupt  & K.J. Harrington","Effect of urease, nitrification and algal inhibitors on ammonia loss and grain yield of flooded rice in Thailand",1995,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,,,,,CHPT + PA,60,,,,,0,0,1,flooded rice,CF rice,CHPT + PA +A,0.94,0.94,,11,3,11,1,60,,,1201,1201
35,this study,"Letícia de Abreu Faria, Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Pedro Henrique de Cerqueira Luz & Elaine Maria Silva Guedes",LOSS OF AMMONIA FROM NITROGEN FERTILIZERS APPLIED TO MAIZE AND SOYBEAN STRAW,2013,SCA,"Pirassununga, São Paulo State, Brazil",-21.989925,-47.429154,,Latossolo Vermelho,1,5.95,51.2,26.2,22.6,,urea boric acid and copper sulfate,100,,,,,0,0,0,maize,cereal,UC-B 09,9.046855734,9.046855734,,5,4,20,1,100,,22.6,1519,1519
36,this study,"Letícia de Abreu Faria, Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Pedro Henrique de Cerqueira Luz & Elaine Maria Silva Guedes",LOSS OF AMMONIA FROM NITROGEN FERTILIZERS APPLIED TO MAIZE AND SOYBEAN STRAW,2013,SCA,"Pirassununga, São Paulo State, Brazil",-21.989925,-47.429154,,Latossolo Vermelho,1,5.95,51.2,26.2,22.6,,ammnoium nitrate,100,,,,,0,0,0,maize,cereal,AN 09,0.082244143,0.082244143,,5,4,20,1,100,,22.6,1519,1519
37,this study,"Letícia de Abreu Faria, Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Pedro Henrique de Cerqueira Luz & Elaine Maria Silva Guedes",LOSS OF AMMONIA FROM NITROGEN FERTILIZERS APPLIED TO MAIZE AND SOYBEAN STRAW,2013,SCA,"Pirassununga, São Paulo State, Brazil",-21.989925,-47.429154,,Latossolo Vermelho,1,5.95,51.2,26.2,22.6,,urea,100,,,,,0,0,0,maize,cereal,U 09,14.80394575,14.80394575,,5,4,20,1,100,,22.6,1519,1519
38,this study,"Letícia de Abreu Faria, Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Pedro Henrique de Cerqueira Luz & Elaine Maria Silva Guedes",LOSS OF AMMONIA FROM NITROGEN FERTILIZERS APPLIED TO MAIZE AND SOYBEAN STRAW,2013,SCA,"Pirassununga, São Paulo State, Brazil",-21.989925,-47.429154,,Latossolo Vermelho,1,5.95,51.2,26.2,22.6,,ammonium sulfate ,33,urea  ,67,,,0,0,0,maize,cereal,ASU 09,14.80394575,14.80394575,,5,4,20,1,100,,22.6,1519,1519
39,this study,"Letícia de Abreu Faria, Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Pedro Henrique de Cerqueira Luz & Elaine Maria Silva Guedes",LOSS OF AMMONIA FROM NITROGEN FERTILIZERS APPLIED TO MAIZE AND SOYBEAN STRAW,2013,SCA,"Pirassununga, São Paulo State, Brazil",-21.989925,-47.429154,,Latossolo Vermelho,1,5.95,51.2,26.2,22.6,,ammonium sultate,33,urea boric acid and copper sulfate,67,,,0,0,0,maize,cereal,ASUC-B 09,15.62638718,15.62638718,,5,4,20,1,100,,22.6,1519,1519
40,this study,"Letícia de Abreu Faria, Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Pedro Henrique de Cerqueira Luz & Elaine Maria Silva Guedes",LOSS OF AMMONIA FROM NITROGEN FERTILIZERS APPLIED TO MAIZE AND SOYBEAN STRAW,2013,SCA,"Pirassununga, São Paulo State, Brazil",-21.989925,-47.429154,,Latossolo Vermelho,1,5.95,51.2,26.2,22.6,,urea coated with zeolite,100,,,,,0,0,0,maize,cereal,UC-Z 09,15.62638718,15.62638718,,5,4,20,1,100,,22.6,1519,1519
41,this study,"Letícia de Abreu Faria, Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Pedro Henrique de Cerqueira Luz & Elaine Maria Silva Guedes",LOSS OF AMMONIA FROM NITROGEN FERTILIZERS APPLIED TO MAIZE AND SOYBEAN STRAW,2013,SCA,"Pirassununga, São Paulo State, Brazil",-21.989925,-47.429154,,Latossolo Vermelho,1,5.95,51.2,26.2,22.6,,urea boric acid and copper sulfate,100,,,,,0,0,0,maize,cereal,UC-B 10,13.98150432,13.98150432,,5,4,20,1,100,,22.6,1519,1519
42,this study,"Letícia de Abreu Faria, Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Pedro Henrique de Cerqueira Luz & Elaine Maria Silva Guedes",LOSS OF AMMONIA FROM NITROGEN FERTILIZERS APPLIED TO MAIZE AND SOYBEAN STRAW,2013,SCA,"Pirassununga, São Paulo State, Brazil",-21.989925,-47.429154,,Latossolo Vermelho,1,5.95,51.2,26.2,22.6,,ammnoium nitrate,100,,,,,0,0,0,maize,cereal,AN 10,0,0.00027475,,5,4,20,1,100,,22.6,1519,1519
43,this study,"Letícia de Abreu Faria, Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Pedro Henrique de Cerqueira Luz & Elaine Maria Silva Guedes",LOSS OF AMMONIA FROM NITROGEN FERTILIZERS APPLIED TO MAIZE AND SOYBEAN STRAW,2013,SCA,"Pirassununga, São Paulo State, Brazil",-21.989925,-47.429154,,Latossolo Vermelho,1,5.95,51.2,26.2,22.6,,urea,100,,,,,0,0,0,maize,cereal,U 10,11.51418002,11.51418002,,5,4,20,1,100,,22.6,1519,1519
44,this study,"Letícia de Abreu Faria, Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Pedro Henrique de Cerqueira Luz & Elaine Maria Silva Guedes",LOSS OF AMMONIA FROM NITROGEN FERTILIZERS APPLIED TO MAIZE AND SOYBEAN STRAW,2013,SCA,"Pirassununga, São Paulo State, Brazil",-21.989925,-47.429154,,Latossolo Vermelho,1,5.95,51.2,26.2,22.6,,ammonium sulfate ,33,urea  ,67,,,0,0,0,maize,cereal,ASU 10,12.33662145,12.33662145,,5,4,20,1,100,,22.6,1519,1519
45,this study,"Letícia de Abreu Faria, Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Pedro Henrique de Cerqueira Luz & Elaine Maria Silva Guedes",LOSS OF AMMONIA FROM NITROGEN FERTILIZERS APPLIED TO MAIZE AND SOYBEAN STRAW,2013,SCA,"Pirassununga, São Paulo State, Brazil",-21.989925,-47.429154,,Latossolo Vermelho,1,5.95,51.2,26.2,22.6,,ammonium sultate,33,urea boric acid and copper sulfate,67,,,0,0,0,maize,cereal,ASUC-B 10,9.869297164,9.869297164,,5,4,20,1,100,,22.6,1519,1519
46,this study,"Letícia de Abreu Faria, Carlos Antonio Costa do Nascimento, Godofredo Cesar Vitti, Pedro Henrique de Cerqueira Luz & Elaine Maria Silva Guedes",LOSS OF AMMONIA FROM NITROGEN FERTILIZERS APPLIED TO MAIZE AND SOYBEAN STRAW,2013,SCA,"Pirassununga, São Paulo State, Brazil",-21.989925,-47.429154,,Latossolo Vermelho,1,5.95,51.2,26.2,22.6,,urea coated with zeolite,100,,,,,0,0,0,maize,cereal,UC-Z 10,11.51418002,11.51418002,,5,4,20,1,100,,22.6,1519,1519
47,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,control -,12.02820592,12.02820592,,11,3,11,1,75,,14,1201,1201
48,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,NBPT -,57.36528977,57.36528977,,11,3,11,1,75,,14,1201,1201
49,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,NBPT repeated -,60.44944513,60.44944513,,11,3,11,1,75,,14,1201,1201
50,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,mixed inhibitors -,56.13162762,56.13162762,,11,3,11,1,75,,14,1201,1201
51,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,CaC2 -,9.375832306,9.375832306,,11,3,11,1,75,,14,1201,1201
52,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,NBPT + CaC2 -,9.745930949,9.745930949,,11,3,11,1,75,,14,1201,1201
53,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,mixed inhibitors + CaC2 -,8.512268804,8.512268804,,11,3,11,1,75,,14,1201,1201
54,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,control +,6.415043157,6.415043157,,11,3,11,1,75,,14,1201,1201
55,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,NBPT +  ,46.87916153,46.87916153,,11,3,11,1,75,,14,1201,1201
56,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,mixed inhibitors +  ,43.17817509,43.17817509,,11,3,11,1,75,,14,1201,1201
57,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,CaC2 +,7.648705302,7.648705302,,11,3,11,1,75,,14,1201,1201
58,this study,P. Chaiwanakupt; J.R. Freney ; D.G. Keerthisinghe; S. Phongpan ; R.L. Blakeley ,"Use of urease, algal inhibitors, and nitrification inhibitors to reduce nitrogen loss and increase the grain yield of flooded rice (Oryza sativa L.}",1996,A,"Suphanburi, Thailand",14.46667,100.1333,,Fluvic Tropaquept,0,5.1,68,18,14,,urea,75,,,,,0,0,1,flooded rice,CF rice,NBPT + CaC2 +,9.067416769,9.067416769,,11,3,11,1,75,,14,1201,1201
